MrRalleZ,Rasmus Skinneholm, Elements, Denmark,AD
Nisbeth,Nicolai Nisbeth, Splyce, Denmark,Support
Obvious,Dennis Sørensen, Enemy, Denmark,Jungler
P1noy,Kristoffer Albao Lund Pedersen, Copenhagen Wolves, Denmark,AD
Sencux,Chres Laursen, Splyce, Denmark,Mid
SezzeR,Jonatan Villebro, SK Gaming, Denmark,Jungler
Søren Holdt Frederiksen,Søren Holdt Frederiksen, Copenhagen Wolves, Denmark,Mid
Soren,Søren Holdt Frederiksen, Copenhagen Wolves, Denmark,Mid
Svenskeren,Dennis Johnsen, Team SoloMid, Denmark,Jungler
Trashy,Jonas Andersen, Splyce, Denmark,Jungler
Trowen,Admir Spahic, Copenhagen Wolves, Denmark,Jungler
Visdom,Benjamin Ruberg Larsen, HWA Gaming, Denmark,Support
Wickd,Mike Petersen, Copenhagen Wolves, Denmark,Top
Wunderwear,Martin Hansen, Splyce, Denmark,Top
Zven,Jesper Svenningsen, Origen, Denmark,AD
NoLimit,Jorge Santamaria, Rejected, Ecuador,Support
beansu,Mauno Tälli, mousesports, Estonia,Top
SirNukesAlot,Risto Luuri, Copenhagen Wolves, Estonia,Support
Cyanide,Lauri Happonen, Origen, Finland,Jungler
Hiiva,Aleksi Kaikkonen, Renegades: Banditos, Finland,Support
Latimer,Aleksi Ihalainen, RCTIC eSports, Finland,Support
Malkkari,Teemu Maliniemi, RCTIC eSports, Finland,AD
Sleeping,Christian Tiensuu, SK Gaming, Finland,Top
Zytan,Niklas Lakaniemi, mousesports, Finland,Support
Cabochard,Lucas Simon-Meslet, Team Vitality, France,Top
Dioud,Hugo Padioleau, RED Canids, France,Support
Djoko,Charly Guillard, Millenium, France,Jungler
Eika,Jérémy Valdenaire, Elements, France,Mid
Hans,Steven Liv, Millenium, France,AD
Haydal,Haïdar Mezidi, E-corp Gaming, France,AD
Huhi,Choi Jae-hyun (___), Counter Logic Gaming, France,Mid
Kaze,Quentin Gourbeix, Millenium, France,Top
KazuXD,Kazuta Suzuki, DetonatioN Gaming, France,Coach
loulex,Jean-Victor Burgevin, Unicorns Of Love, France,Jungler
Myw,Beverly Bioli, Millenium, France,AD
Nono,Rim-Raimon Amanieu, GG Call Nash, France,AD
sOAZ,Paul Boyer, Origen, France,Top
Sardoche,Andréas Honnet, Lamasticrew, France,Analyst
ShLaYa,Tony Carmona, Team Vitality, France,Mid
Shaunz,Kévin Ghanbarzadeh, Team Vitality, France,Coach
Steeelback,Pierre Medjaldi, Unicorns Of Love, France,AD
Steve,Etienne Michels, Elements, France,Top
Tidus,Jocelyn Pierlot, Mad Theory, France,AD
YellOwStaR,Bora Kim, Team SoloMid, France,Support
Yuuki60,Soler Florent, Renegades: Banditos, France,AD
Amazing,Maurice Stückenschneider, Origen, Germany,Jungler
Arphan,Arphan Omar, Dark Passage, Germany,Support
avenuee,Mustafa Atalay, Team AURORA, Germany,Mid
dexter,Marcel Feldkamp, Elements, Germany,Jungler
Dman403,Damian Dörfling, COREPLAY, Germany,Jungler
Entenzwerg,Janis Thomas Krzok, Planetkey Dynamics, Germany,AD
Gilius,Berk Demir, Elements, Germany,Jungler
Intox,Niklas Lips, EURONICS Gaming, Germany,Support
LeDuck,Titus Hafner, Inspire eSports, Germany,Coach
LordKevko,Kevin Zuber, x6tence, Germany,Mid
nRated,Christoph Seitz, Team ROCCAT, Germany,Support
NoXiAK,Lewis Simon Felix, Team ROCCAT, Germany,Support
noway4u,Frederik Hinteregger, Mysterious Monkeys, Germany,Mid
Nurok,Nils Gebhardt, n!faculty, Germany,Top
Nyph,Patrick Funke, Elements, Germany,Coach
PowerOfEvil,Tristan Schrage, Origen, Germany,Mid
Prothana,Roland Runge, ESC Gaming Europe, Germany,AD
Satorius,Max Günther, Inspire eSports, Germany,Top
Sedrion,Tarik Holz, EURONICS Gaming, Germany,AD
Smittyj,Lennart Warkus, Giants Gaming, Germany,Top
SorakaBot,Lars Fasse, Team Server-Forge, Germany,Jungler
Xioh,Julian Dumler, PENTA Sports, Germany,Mid
AnOnPsyCkO,John Kounelis, Void Gaming, Greece,Jungler
Dom1nant,John Vorgazlis, Void Gaming, Greece,Mid
FORG1VEN,Konstantinos Tzortziou, H2k-Gaming, Greece,AD
Galatas,Anil Hikmetoglou, Test Your Limits, Greece,Jungler
I Look Pretty,Prodromos Kevezitidis, Millenium, Greece,Mid
lNightmare,Georgios Skarafigkas, Team ALTERNATE, Greece,Jungler
MasterMinD,Nikos Kappas, Test Your Limits, Greece,AD
NaSoMaNiAC,Nasos Bouboulis, Test Your Limits, Greece,Top
